ID,NAME,PROF,TIME1,TIME2,CREDITS,YEAR
AMIE351-00,반도체분광기기분석,이홍섭,월 13:30-14:45 (공B105호),수 13:30-14:45 (공B105호),3,3
AMIE331-01,반도체재료,강성준,화 10:30-11:45 (공263호),목 10:30-11:45 (공263호),3,3
AMIE475-00,정보전자신소재종합설계1,전우진,화 16:30-19:15 (공367호),,3,4
AMIE202-01,공학수학1,이빈,화 09:00-10:15 (공B105호),목 09:00-10:15 (공B105호),3,2
AMIE201-00,공학프로그래밍입문,장보규,월 16:30-17:45 (공244호실),수 16:30-17:45 (공244호실),3,2
CHE332-01,반응공학,유태경,월 15:00-16:15 (공B102호),수 15:00-16:15 (공B102호),3,3
CHE332-02,반응공학,김종식,화 09:00-10:15 (공149호),목 09:00-10:15 (공149호),3,3
CHE433-00,졸업논문(화학공학),오진영,토 15:30-16:15 (공B102호),,0,4
CHE232-01,화공기초실험및설계,서태석,월 16:30-21:20 (실123호),,3,2
CHE232-02,화공기초실험및설계,이창우,화 16:30-21:20 (실123호),,3,2
CHE232-03,화공기초실험및설계,김종식,수 16:30-21:20 (실123호),,3,2
CHE232-04,화공기초실험및설계,오진영,목 16:30-21:20 (실123호),,3,2
CHE232-05,화공기초실험및설계,윤태호,금 10:30-15:20 (실123호),,3,2
CHE331-01,화공열역학I,김성수,월 10:30-11:45 (공363호),수 10:30-11:45 (공363호),3,3
CHE331-02,화공열역학I,김성수,월 13:30-14:45 (공B102호),수 13:30-14:45 (공B102호),3,3
CHE431-01,화학공학실험및설계,이범석,월 16:30-21:20 (실124호),,3,4
CHE431-02,화학공학실험및설계,김영철,화 16:30-21:20 (실124호),,3,4
CHE431-03,화학공학실험및설계,박범준,수 16:30-21:20 (실124호),,3,4
CHE431-04,화학공학실험및설계,김진수,목 16:30-21:20 (실124호),,3,4
CHE431-05,화학공학실험및설계,강남규,금 15:00-19:50 (실124호),,3,4
CHE378-00,고분자물성및응용,배재형,월 09:00-10:15 (공B102호),수 09:00-10:15 (공B102호),3,3
CHE453-00,공정설계,이범석,월 10:30-11:45 (공176-3호),수 10:30-11:45 (공176-3호),3,4
CHE453-01,공정설계,이범석,월 13:30-14:45 (공176-3호),수 13:30-14:45 (공176-3호),3,4
CHE477-00,반도체공정,백상현,화 09:00-10:15 (공363호),목 09:00-10:15 (공363호),3,4
CHE252-01,분석화학,박종욱,화 10:30-11:45 (공B101호),목 10:30-11:45 (공B101호),3,2
CHE252-02,분석화학,박종욱,화 13:30-14:45 (공B102호),목 13:30-14:45 (공B102호),3,2
CHE259-01,생명공학개론,이은열,월 09:00-10:15 (공363호),수 09:00-10:15 (공363호),3,2
CHE259-02,생명공학개론,강남규,화 09:00-10:15 (공B102호),목 09:00-10:15 (공B102호),3,2
CHE353-01,열및물질전달,김진수,월 16:30-17:45 (공B102호),수 16:30-17:45 (공B102호),3,3
CHE353-02,열및물질전달,이창우,월 16:30-17:45 (공363),수 16:30-17:45 (공363),3,3
CHE362-00,유기전자재료,김영철,화 13:30-14:45 (공363호),목 13:30-14:45 (공363호),3,3
CHE251-01,유기화학,백상현,월 13:30-14:45 (공363호),수 13:30-14:45 (공363호),3,2
CHE251-02,유기화학,백상현,월 15:00-16:15 (공363호),수 15:00-16:15 (공363호),3,2
CHE376-00,응용생화학,강남규,화 16:30-17:45 (공B102호),목 16:30-17:45 (공B102호),3,3
CHE363-00,이동현상,박범준,화 15:00-16:15 (공363),목 15:00-16:15 (공363),3,"3,4"
CHE456-00,전지기술,이용택,화 10:30-11:45 (공363호),목 10:30-11:45 (공363호),3,4
CHE478-00,창의심화연구1,박범준,금 09:00-11:45 (공B102호),,3,4
CHE231-01,화공양론,오진영,월 10:30-11:45 (공142-1호),수 10:30-11:45 (공142-1호),3,2
CHE231-02,화공양론,오진영,화 15:00-16:15 (공B102),목 15:00-16:15 (공B102),3,2
CHE258-00,화학공학프로그래밍입문,김현기,금 13:30-16:15 (공176-4호),,3,2
CHE132-01,화학공학입문,서태석,월 10:30-11:45 (공B102호),수 10:30-11:45 (공B102호),3,1
CHE132-02,화학공학입문,서태석,화 10:30-11:45 (공B102호),목 10:30-11:45 (공B102호),3,1
ENV385-00,대기오염공정실험및설계,조영민,"화 16:30-21:20 (공102-1호, 342)",,3,3
ENV385-01,대기오염공정실험및설계,이태정,"목 16:30-21:20 (공102-1호, 342)",,3,3
ENV488-01,신재생에너지실험및설계,황선진,"화 16:30-21:20 (공369호, 341)",,3,4
ENV488-02,신재생에너지실험및설계,민부기,"목 16:30-21:20 (공369호, 341)",,3,4
ENV487-00,졸업논문(환경학및환경공학전공),유창규,토 16:30-17:20 (),,0,4
ENV485-00,환경논문연구,오종민,월 16:30-19:15 (공369호),,3,4
ENV418-00,환경종합설계,황선진,수 15:00-17:45 (공341호),,3,4
ENV387-00,기후변화생태학실험실습,유가영,"월 16:30-21:20 (공102-1호, 공358)",,3,3
ENV394-00,독립심화학습1(환경공학과),유창규,토 13:30-16:15 (공102-1호),,3,"3,4"
ENV390-00,물리화학적수처리,민부기,화 10:30-11:45 (공369호),목 10:30-11:45 (공369호),3,3
ENV281-00,수질오염학,최이송,금 09:00-11:45 (공102-1호),,3,2
ENV391-00,에어로졸제어,윤정호,화 15:00-16:15 (공369),목 15:00-16:15 (공369),3,3
ENV382-00,연구연수활동1(환경학및환경공학),유창규,토 10:30-12:20 (공102-1호),,1,"3,4"
ENV315-00,하천환경복원설계,최이송,월 10:30-11:45 (공369),수 10:30-11:45 (공369),3,3
ENV379-00,환경기기분석,유창규,월 15:00-16:15 (공369호),수 15:00-16:15 (공369호),3,2
ENV212-01,환경설계기초,황선진,월 13:30-14:45 (공369호),수 13:30-14:45 (공369호),3,2
ENV276-00,환경양론,조영민,월 09:00-10:15 (공369호),수 09:00-10:15 (공369호),3,2
ENV461-00,환경영향평가,조영민,화 09:00-10:15 (공369호),목 09:00-10:15 (공369호),3,4
ENV175-00,환경이슈와첨단환경세미나,유창규,월 17:00-17:50 (공263호),,1,1
ENV389-00,환경통계분석실습,장광현,월 09:00-10:15 (칼랩 176-4),수 09:00-10:15 (칼랩 176-4),3,3
ENV274-01,공학프로그래밍입문,윤정호,화 09:00-10:15 (공176-3호),목 09:00-10:15 (공176-3호),3,2
IS2508-00,Major Issues in International Studies,정하용,월 13:30-14:45 (국202호),수 13:30-14:45 (국202호),3,2
IS2508-01,Major Issues in International Studies,정하용,월 15:00-16:15 (국202호),수 15:00-16:15 (국202호),3,2
IS2204-00,Statistics for Social Science,성레나,월 09:00-10:15 (국101-2호),수 09:00-10:15 (국101-2호),3,2
IS2204-01,Statistics for Social Science,최슬아,금 12:00-14:45 (국105호),,3,2
IS4001-00,졸업논문(국제학전공),김소연,- (),,0,4
IS1011-00,Advanced English for International Contexts,Sharon Morrison,화 13:30-14:45 (국207호),목 13:30-14:45 (국207호),3,1
IS4401-00,American Foreign Policy,정하용,월 10:30-11:45 (국202호),수 10:30-11:45 (국202호),3,3
IS2301-00,Business Finance,이젬마,월 13:30-14:45 (국209호),수 13:30-14:45 (국209호),3,2
IS3536-00,Climate Changes and ESG Management,오형나,월 18:00-20:45 (국202호),,3,3
IS2001-00,Comparative Area Studies,여유경,화 15:00-16:15 (국101-2호),목 15:00-16:15 (국101-2호),3,2
IS3302-00,Consumer Behavior,김소연,화 10:30-11:45 (국203호),목 10:30-11:45 (국203호),3,3
IS3103-00,Culture and International Relations,양준희,월 15:00-16:15 (국105호),수 15:00-16:15 (국105호),3,3
IS2402-00,East Asian International Relations,여유경,화 16:30-17:45 (국101-2호),목 16:30-17:45 (국101-2호),3,2
IS4201-00,Econometrics,오형나,월 10:30-11:45 (국208호),수 10:30-11:45 (국208호),3,3
IS3530-00,Economics of Poverty,박복영,월 15:00-16:15 (국101-2호),수 15:00-16:15 (국101-2호),3,3
IS2503-00,Global Data Analysis for Economics and Business,안지연,화 13:30-14:45 (국106호(전)),목 13:30-14:45 (국106호(전)),3,2
IS2101-00,History of International Relations,우승지,금 15:00-17:45 (국208호),,3,2
IS3520-00,Independent Learning & Research (International Studies),문돈,토 09:00-11:45 (국207호),,3,3
IS3520-01,Independent Learning & Research (International Studies),안지연,토 09:00-11:45 (국207호),,3,3
IS3520-02,Independent Learning & Research (International Studies),Ioannis Tellidis,토 09:00-11:45 (국207호),,3,3
IS3520-03,Independent Learning & Research (International Studies),곽재성,토 09:00-11:45 (국207호),,3,3
IS3520-04,Independent Learning & Research (International Studies),김소연,토 09:00-11:45 (국207호),,3,3
IS1010-00,Intermediate English for International Contexts,Sharon Morrison,화 09:00-10:15 (국207호),목 09:00-10:15 (국207호),3,1
IS1010-01,Intermediate English for International Contexts,Sharon Morrison,화 10:30-11:45 (국207호),목 10:30-11:45 (국207호),3,1
IS4102-00,International Conflict and Resolution,Ioannis Tellidis,월 16:30-17:45 (국204호),수 16:30-17:45 (국204호),3,3
IS3001-00,International Finance,양두용,월 13:30-14:45 (국203호),수 13:30-14:45 (국203호),3,2
